show_id,type,title,duration
80095815,TV Show,Santa Clarita Diet,3 Seasons
80201826,Movie,6-5=2,103 min
80100933,TV Show,Miss Dynamite,1 Season
81012487,TV Show,The Bride of Habaek,1 Season
80057611,TV Show,Beat Bugs,3 Seasons
81000511,Movie,Revenger,102 min
81035120,Movie,True: Grabbleapple Harvest,24 min
70213084,TV Show,Power Rangers in Space,1 Season
70059483,Movie,Bill Hicks: Relentless,61 min
80152442,Movie,Buster's Mal Heart,98 min
70294790,Movie,Grand Masti,93 min
80091779,TV Show,Beating Again,1 Season
80094557,TV Show,Cyborg 009 VS Devilman,1 Season
80220816,TV Show,Jinn,1 Season
80182622,Movie,Krish Trish and Baltiboy: Face Your Fears,65 min
81004223,Movie,Terrifier,84 min
80241986,TV Show,Pose,1 Season
60023856,Movie,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,88 min
80198950,TV Show,Lunatics,1 Season
80117746,Movie,Blue Jay,81 min
80994418,Movie,Chalay Thay Saath,118 min
80085013,Movie,Everyday I Love You,124 min
70242310,TV Show,Hemlock Grove,3 Seasons
80204400,TV Show,Nature's Great Race,1 Season
70130432,Movie,Return To The 36th Chamber,97 min
80114804,Movie,Cosmos Laundromat: First Cycle,12 min
80996343,Movie,Our Shining Days,103 min
70141971,Movie,Skyline,94 min
81213891,Movie,Deewangee,156 min
80235864,TV Show,Bodyguard,1 Season
81018860,Movie,My Little Pony Friendship Is Magic: Best Gift Ever,44 min
81221851,Movie,Women of Mafia 2,132 min
80134967,Movie,Jim Norton: Mouthful of Shame,62 min
60022254,Movie,Balto 2: Wolf Quest,75 min
80017275,Movie,Miss Julie,130 min
80185803,TV Show,Aussie Gold Hunters,1 Season
81086641,Movie,Rainbow Jelly,119 min
81045499,Movie,Grand-Daddy Day Care,96 min
80221271,Movie,Tiffany Haddish: Black Mitzvah,56 min
1005494,Movie,The Stranger,94 min
80139214,Movie,Chingo Bling: They Can't Deport Us All,63 min
70125939,Movie,Paying Guests,114 min
81047510,Movie,Rise: Ini Kalilah,101 min
70026468,Movie,Sam Kinison: Family Entertainment Hour,49 min
516788,Movie,Forbidden Planet,98 min
80190146,Movie,Jessica Darling's It List,80 min
81147274,Movie,Uyare,119 min
80180711,TV Show,Dawai Asmara,1 Season
80136789,TV Show,海的儿子,1 Season
80155932,Movie,The Exception,107 min
80995799,Movie,Walk. Ride. Rodeo.,100 min
80095806,Movie,Danny Says,103 min
80226089,TV Show,Luo Bao Bei,1 Season
80116741,Movie,My Life as a Zucchini,68 min
70213076,TV Show,Power Rangers S.P.D.,1 Season
80122189,TV Show,Fear Files... Har Mod Pe Darr,1 Season
70172488,TV Show,The Twilight Zone (Original Series),4 Seasons
80036416,TV Show,Good Witch,4 Seasons
70173046,Movie,Young Adult,94 min
80008257,TV Show,Power Rangers Super Megaforce,1 Season
81033200,Movie,Love,120 min
81059812,Movie,World's Weirdest Homes,49 min
81016327,Movie,Garuda in My Heart 2,95 min
70213080,TV Show,Power Rangers Mystic Force,1 Season
80166471,TV Show,The Method,1 Season
81024701,Movie,Sat Shri Akaal England,127 min
80096545,TV Show,Roman Empire: Reign of Blood,3 Seasons
80091936,Movie,Okja,121 min
81039381,Movie,Andhadhun,137 min
80226951,Movie,"Club de Cuervos Presents: I, Potro",51 min
80027271,TV Show,The Messengers,1 Season
80239565,Movie,Errementari: The Blacksmith and the Devil,99 min
70044256,Movie,Jim Gaffigan: Beyond the Pale,72 min
60021787,Movie,Gangs of New York,167 min
70299286,Movie,E-Team,90 min
80141254,Movie,Bibi & Tina: Girls Versus Boys,107 min
80109193,Movie,Holy Camp!,108 min
80044731,Movie,Chris Tucker Live,92 min
80092839,Movie,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,60 min
80994444,Movie,Scorpion King 5: Book of Souls,102 min
80152741,Movie,Saheb Bibi Golaam,118 min
60003540,Movie,Rugrats in Paris: The Movie,79 min
80190148,Movie,Annabelle Hooper and the Ghosts of Nantucket,92 min
80158390,Movie,Amrapali,116 min
80221272,TV Show,LAST HOPE,2 Seasons
80111650,TV Show,Fall in Love with Me,1 Season
80191049,Movie,ReMastered: Devil at the Crossroads,49 min
81024705,Movie,Zindagi Kitni Haseen Hay,126 min
80224605,Movie,Hans Zimmer: Live in Prague,138 min
80081990,Movie,Dream/Killer,109 min
80158547,Movie,Singapore,158 min
80170870,Movie,Dayveon,76 min
80028529,Movie,Tinker Bell and the Legend of the NeverBeast,78 min
70303424,Movie,Highway,127 min
80216146,TV Show,Love and Hong Kong,1 Season
80103311,Movie,The Bar,102 min
80194704,TV Show,Car Masters: Rust to Riches,1 Season
81038545,Movie,Mercy Black,88 min
81018183,Movie,Ronnie Coleman: The King,93 min
80122209,Movie,Up Among  The Stars,86 min
80987906,TV Show,Yu-Gi-Oh! Arc-V,2 Seasons
80999986,Movie,Pahuyut Fighting Beat,82 min
80149821,Movie,The Rachel Divide,105 min
80177342,TV Show,Good Girls,1 Season
80068219,Movie,Colin Quinn: Unconstitutional,56 min
70299863,Movie,The One I Love,91 min
80198018,Movie,Natalia Valdebenito: Gritona,76 min
80163263,Movie,Goon: Last of the Enforcers,102 min
80200015,Movie,W. Kamau Bell: Private School Negro,66 min
70089214,Movie,Jaane Tu... Ya Jaane Na,147 min
70098332,Movie,Traitor,114 min
916043,Movie,Rocky II,119 min
80221016,Movie,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,142 min
80206732,Movie,Nibunan,124 min
80161848,TV Show,A.I.C.O.,1 Season
70208801,Movie,Bleach The Movie: Fade to Black,94 min
80108430,Movie,The Duel,110 min
80168231,Movie,Water & Power: A California Heist,78 min
81213155,TV Show,"Crazy, Lovely, Cool",1 Season
80190097,TV Show,November 13: Attack on Paris,1 Season
81031008,Movie,For the Birds,93 min
80149282,Movie,The Violin Player,72 min
81024718,Movie,Virsa,127 min
80205451,Movie,42 Grams,81 min
70123118,Movie,What's Your Raashee?,203 min
80103282,Movie,Barakah Meets Barakah,88 min
80158577,Movie,Pandora,137 min
70264616,TV Show,Goosebumps,5 Seasons
81000861,Movie,American Circumcision,101 min
81067758,Movie,Candyflip,104 min
80107037,Movie,Ludo,88 min
1178866,Movie,The Game,129 min
80163191,Movie,My Ex-Ex,91 min
80117552,TV Show,Ozark,2 Seasons
80188580,Movie,Chocolate City: Vegas Strip,90 min
80158801,TV Show,Nightmare High,1 Season
80244680,Movie,A Tale of Two Kitchens,30 min
81080769,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,121 min
80039644,Movie,(T)ERROR,84 min
81121177,Movie,NOVA: Decoding the Weather Machine,113 min
81000000,Movie,The Unborn Child,93 min
70205634,TV Show,El Chavo,1 Season
80132792,TV Show,Shadow of Truth,1 Season
81035127,Movie,True: Happy Hearts Day,24 min
1181661,Movie,The Rainmaker,136 min
80175722,TV Show,The End of the F***ing World,2 Seasons
80126566,TV Show,Wartime Portraits,1 Season
80216665,TV Show,Rhythm + Flow,1 Season
